school1,DCFY_atrisk_DENOM,SUMDCFY_atrisk_Flag,ALL_RISKS,meanDCFY_atrisk_FLAG,total_enroll_mean,SUM_touch_DCYF_2008,number_of_students,pct_atrisk,PCT_teen_mom,M_mt_2healthrisks_intract,M_ever_retained_prior0809,M_Ever_Poverty_prior0809,M_Chronic_abs_0708,M_SchMoves_GT_2_ever,TouchDCYF_per1000,at_risk_school,violence_susp_per1000,Disaffection_susp_per1000,ANGER_susp_per1000,SUBSTANCEUSE_susp_per1000,PCT_Reading_Proficiency,PCT_MATH_Proficiency,ATRISK_06_P,ATRISK_07_P,ATRISK_08_P,ATRISK_09_P,ATRISK_10_P,ATRISK_11_P,ATRISK_12_P,NONRISK_06_P,NONRISK_07_P,NONRISK_08_P,NONRISK_09_P,NONRISK_10_P,NONRISK_11_P,NONRISK_12_P,M_touch_Ever_AV_sch_2008,
28135,51,9,1.80,0.18,1.18,0.00,51.00,17.65, ,49.02,7.84,94.12,23.53,5.88,0.00,0.00,78.43,78.43,78.43, ,36.00,28.00,17.65, , , , , , ,82.35, , , , , , ,0.00,
28137,541,124,1.89,0.23,1.42,3.00,541.00,22.92,0.00,44.66,10.17,96.74,40.20,4.62,5.55,1.00,223.66,436.23,29.57,1.85,38.21,22.06,22.38,23.90,21.88,100.00, , , ,77.62,76.10,78.13,0.00, , , ,0.18,
28138,57,6,1.39,0.11,1.16,0.00,57.00,10.53, ,24.56,10.53,82.14,21.43,1.75,0.00,0.00,122.81,87.72,70.18, ,64.81,40.74,10.53, , , , , , ,89.47, , , , , , ,0.00,
28139,1477,695,2.44,0.47,1.30,77.00,1477.00,47.05,3.13,76.57,19.57,97.69,53.67,5.75,52.13,1.00,62.97,88.02,10.83, ,40.48,5.17, , ,100.00,46.27,43.90,47.84,51.43, , ,0.00,53.73,56.10,52.16,48.57,4.20,
28140,50,18,2.32,0.36,1.10,0.00,50.00,36.00, ,78.00,16.00,100.00,34.00,4.00,0.00,1.00,120.00,80.00,40.00, ,38.00,22.00,36.00, , , , , , ,64.00, , , , , , ,0.00,
28144,824,269,2.17,0.33,1.26,6.00,824.00,32.65,0.00,82.03,9.10,98.57,36.58,3.52,7.28,1.00,109.22,408.98,13.35,1.21,40.52,20.97,30.86,31.01,35.62,100.00, , , ,69.14,68.99,64.38,0.00, , , ,0.00,
28145,913,146,1.71,0.16,1.13,4.00,913.00,15.99,0.00,52.32,5.37,89.48,23.37,2.41,4.38,0.00,120.48,211.39,17.52, ,63.11,50.81,17.27,13.64,17.60, , , , ,82.73,86.36,82.40, , , , ,0.00,
28146,767,262,2.16,0.34,1.30,7.00,767.00,34.16,0.00,74.22,11.21,98.44,41.32,5.48,9.13,1.00,277.71,419.82,32.59,1.30,32.97,21.59,31.90,31.44,38.89, , , , ,68.10,68.56,61.11, , , , ,0.00,
28147,889,306,2.19,0.34,1.26,14.00,889.00,34.42,0.00,78.69,9.67,98.44,39.33,5.62,15.75,1.00,190.10,357.71,29.25,11.25,35.93,19.45,26.27,32.81,42.81, , , , ,73.73,67.19,57.19, , , , ,0.00,
28150,1612,734,2.34,0.46,1.31,83.00,1612.00,45.53,2.40,64.61,19.85,95.71,59.45,5.58,51.49,1.00,55.21,116.63,19.23,0.62,36.07,1.61, , ,33.33,47.19,47.12,40.15,44.23, , ,66.67,52.81,52.88,59.85,55.77,4.47,
