school_year,LabelStateCode,LabelSchoolNameShort,LabelSchoolNameLong,LabelDistCode,LabelDistrict,LabelSch+District,LabelGradeConfig,LabelCharterSch,LabelSchCoreCity4,LabelSchCoreCity5,LabelSchCoreCity6,LabelGradeConfigAbbr,LabelSchCity,LabelElementary,LabelMiddle,LabelHigh,LabelSchMCSch,LabelSchMCElemSch,ACT_CEEB_code,nces_code,ctract2010,ctract2000,neighborhood
2011-2012,28607,RI Nurses Inst. Mid. College HS,RI Nurses Institute Middle College Charter High School,63,Rhode Island Nurses Institute Middle College,RI Nurses Inst. Mid. College HS - RI Nurses Inst. Mid. College Charter,High,Y,Y,Y,Y,10 to 12,Providence,N,N,Y,N,N,400189,,44007000800,44007000800,Downtown
2011-2012,28703,The MET,Metropolitan Regional Career & Technical Center,60,MET Career & Tech,The MET - State Operated,High,N,Y,Y,Y,9 to 12,Providence,N,N,Y,N,N,400166,440000300121,44007000600,44007000600,Upper South Providence
2011-2012,30102,Hope,Hope Elementary School,30,Scituate,Hope - Scituate,Elementary,N,N,N,N,K to 5,Hope,Y,N,N,N,N,,440096000253,44007013201,44007013201,
2011-2012,30103,Clayville,Clayville Elementary School,30,Scituate,Clayville - Scituate,Elementary,N,N,N,N,K to 5,Clayville,Y,N,N,N,N,,440096000252,44007013202,44007013202,
2011-2012,30104,Scituate HS,Scituate High School,30,Scituate,Scituate HS - Scituate,High,N,N,N,N,9 to 12,North Scituate,N,N,Y,N,N,400095,440096000255,44007013202,44007013202,
2011-2012,30105,Scituate MS,Scituate Middle School,30,Scituate,Scituate MS - Scituate,Middle,N,N,N,N,6 to 8,North Scituate,N,Y,N,N,N,,440096000036,44007013202,44007013202,
2011-2012,30106,North Scituate Elem.,North Scituate Elementary School,30,Scituate,North Scituate Elem. - Scituate,Elementary,N,N,N,N,PK to 5,North Scituate,Y,N,N,N,N,,440096000254,44007013201,44007013201,
2011-2012,31103,Winsor,William Winsor School,31,Smithfield,Winsor - Smithfield,Elementary,N,N,N,N,K to 5,Smithfield,Y,N,N,N,N,,440099000261,44007012702,44007012702,
2011-2012,31104,Old County Rd,Old County Road School,31,Smithfield,Old County Rd - Smithfield,Elementary,N,N,N,N,K to 5,Smithfield,Y,N,N,N,N,,440099000258,44007012602,44007012602,
2011-2012,31105,McCabe,Anna M. McCabe School,31,Smithfield,McCabe - Smithfield,Elementary,N,N,N,N,PK to 5,Smithfield,Y,N,N,N,N,,440099000256,44007012701,44007012701,
2011-2012,31107,Smithfield SHS,Smithfield Senior High School,31,Smithfield,Smithfield SHS - Smithfield,High,N,N,N,N,9 to 12,Smithfield,N,N,Y,N,N,400053,440099000259,44007012701,44007012701,
2011-2012,31108,LaPerche,Raymond C. LaPerche School,31,Smithfield,LaPerche - Smithfield,Elementary,N,N,N,N,K to 5,Smithfield,Y,N,N,N,N,,440099000257,44007012602,44007012602,
2011-2012,31109,Gallagher MS,Vincent J. Gallagher Middle School,31,Smithfield,Gallagher MS - Smithfield,Middle,N,N,N,N,6 to 8,Smithfield,N,Y,N,N,N,,440099000260,44007012701,44007012701,
2011-2012,32103,Wakefield,Wakefield Elementary School,32,South Kingstown,Wakefield - S. Kingstown,Elementary,N,N,N,N,K to 4,Wakefield,Y,N,N,N,N,,440102000269,44009051202,44009051200,
2011-2012,32104,Hazard (PreK),Hazard School,32,South Kingstown,Hazard (PreK) - S. Kingstown,Elementary,N,N,N,N,PK to PK,Wakefield,Y,N,N,N,N,,440102000102,44009051202,44009051200,
2011-2012,32107,Peace Dale,Peace Dale Elementary School,32,South Kingstown,Peace Dale - S. Kingstown,Elementary,N,N,N,N,K to 4,Peace Dale,Y,N,N,N,N,,440102000264,44009051201,44009051200,
2011-2012,32108,South Kingstown HS,South Kingstown High School,32,South Kingstown,South Kingstown HS - S. Kingstown,High,N,N,N,N,9 to 12,Wakefield,N,N,Y,N,N,400230,440102000265,44009051202,44009051200,
2011-2012,32110,Curtis Corner MS,Curtis Corner Middle School,32,South Kingstown,Curtis Corner MS - S. Kingstown,Middle,N,N,N,N,7 to 8,Wakefield,N,Y,N,N,N,,440102000266,44009051306,44009051303,
2011-2012,32112,West Kingston,West Kingston Elementary School,32,South Kingstown,West Kingston - S. Kingstown,Elementary,N,N,N,N,K to 4,West Kingston,Y,N,N,N,N,,440102000270,44009051306,44009051303,
2011-2012,32113,Matunuck,Matunuck School,32,South Kingstown,Matunuck - S. Kingstown,Elementary,N,N,N,N,K to 4,Wakefield,Y,N,N,N,N,,440102000263,44009051302,44009051302,
2011-2012,32114,Broad Rock MS,Broad Rock Middle School,32,South Kingstown,Broad Rock MS - S. Kingstown,"Elem,Middle",N,N,N,N,5 to 6,Wakefield,Y,Y,N,N,N,,440102000210,44009051202,44009051200,
2011-2012,32601,Kingston Hill,Kingston Hill Academy,52,Kingston Hill Academy,Kingston Hill - Kingston Hill Charter,Elementary,Y,N,N,N,K to 5,Saunderstown,Y,N,N,N,N,,440003300225,44009051305,44009051303,
2011-2012,33105,Ranger,Walter E. Ranger School,33,Tiverton,Ranger - Tiverton,Elementary,N,N,N,N,K to 4,Tiverton,Y,N,N,N,N,,440105000276,44005041702,44005041700,
2011-2012,33106,Fort Barton,Fort Barton School,33,Tiverton,Fort Barton - Tiverton,Elementary,N,N,N,N,K to 4,Tiverton,Y,N,N,N,N,,440105000357,44005041702,44005041700,
2011-2012,33107,Pocasset,Pocasset School,33,Tiverton,Pocasset - Tiverton,Elementary,N,N,N,N,PK to 4,Tiverton,Y,N,N,N,N,,440105000273,44005041701,44005041700,
2011-2012,33108,Tiverton HS,Tiverton High School,33,Tiverton,Tiverton HS - Tiverton,High,N,N,N,N,9 to 12,Tiverton,N,N,Y,N,N,400224,440105000274,44005041701,44005041700,
